Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15
3,8,27,2,5,25,8,30,6,20,17,25,8,26,4
3,8,24,2,5,25,7,25,6,26,12,35,12,30,4
3,7,36,2,5,30,,30,6,18,10,25,11,30,4
3,8,30,2,5,40,7,30,6,20,9,20,9,35,4
3,8,30,2,5,25,7,25,6,15,9,20,9,25,4
3,9,27,2,5,24,7,35,6,15,10,25,9,23,4
3,9,36,2,6,38,8,32,6,15,20,28,15,23,4
3,7,25,1,5,25,7,30,6,17,11,23,10,36,4
3,8,30,2,6,30,8,30,7,15,10,20,9,30,4
3,8,30,2,5,25,6,40,6,20,11,30,9,30,4
3,8,25,2,5,30,7,27,6,15,10,20,9,20,4
3,8,26,2,5,19,7,30,6,16,10,21,9,32,4
3,8,22,2,5,26,7,25,6,12,9,18,9,23,4
3,8,20,2,5,20,7,25,6,12,10,18,12,14,4
3,9,32,2,5,27,9,38,6,16,11,34,17,28,4
3,9,40,2,5,50,7,40,8,20,11,24,10,30,4
3,8,39,2,5,40,7,40,6,13,10,15,9,38,4
3,7,23,2,5,26,7,25,6,18,10,20,9,21,4
3,8,50,2,5,30,6,30,6,15,10,20,9,25,4
3,8,25,2,5,30,7,35,6,15,11,25,9,26,4
3,9,20,2,6,20,7,30,6,15,12,18,9,20,4
3,7,25,2,4,20,7,30,6,15,10,25,9,15,4
3,8,23,2,5,25,7,29,6,15,11,18,9,22,4
3,8,40,2,5,20,7,25,6,18,8,15,12,25,4
3,9,27,2,5,38,7,38,6,17,10,29,10,32,4
3,8,31,2,5,25,7,50,6,19,10,20,9,23,4
3,8,27,2,5,25,7,22,6,18,10,23,9,20,4
3,7,35,2,5,20,7,25,6,17,10,18,9,20,4
3,10,30,2,6,27,8,23,6,14,8,19,7,29,3
3,8,27,2,5,21,7,29,6,18,10,27,9,24,4
3,10,8,2,5,25,8,30,6,17,12,18,10,21,4
3,8,35,2,5,30,7,35,6,13,9,20,10,20,5
